prompt_id,page,page_type,module,title,prompt
FM-NURSERY-V5-P001,1,Front Cover,Front Matter,Fine Motor Fun,"# FM-NURSERY-V5-P001 — Fine Motor Fun

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P001`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 1 of 44
- Page type: Front Cover
- Module: Front Matter
- Exact title: Fine Motor Fun

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Fine Motor Fun**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Front Cover**. Create a visually dominant, age-appropriate composition for **Fine Motor Fun** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P002,2,Inside Cover / Book Information,Front Matter,About This Book,"# FM-NURSERY-V5-P002 — About This Book

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P002`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 2 of 44
- Page type: Inside Cover / Book Information
- Module: Front Matter
- Exact title: About This Book

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **About This Book**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Inside Cover / Book Information**. Create a visually dominant, age-appropriate composition for **About This Book** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P003,3,This Book Belongs To,Front Matter,This Book Belongs To,"# FM-NURSERY-V5-P003 — This Book Belongs To

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P003`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 3 of 44
- Page type: This Book Belongs To
- Module: Front Matter
- Exact title: This Book Belongs To

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **This Book Belongs To**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **This Book Belongs To**. Create a visually dominant, age-appropriate composition for **This Book Belongs To** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P004,4,Core Learning,Ready Hands,Open and Close,"# FM-NURSERY-V5-P004 — Open and Close

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P004`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 4 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Open and Close

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Open and Close**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Open and Close** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P005,5,Core Learning,Ready Hands,Finger Tap,"# FM-NURSERY-V5-P005 — Finger Tap

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P005`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 5 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Finger Tap

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Finger Tap**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Finger Tap** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P006,6,Core Learning,Ready Hands,Thumb Touch,"# FM-NURSERY-V5-P006 — Thumb Touch

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P006`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 6 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Thumb Touch

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Thumb Touch**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Thumb Touch** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P007,7,Core Learning,Ready Hands,Pinch and Pick,"# FM-NURSERY-V5-P007 — Pinch and Pick

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P007`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 7 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Pinch and Pick

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Pinch and Pick**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Pinch and Pick** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P008,8,Core Learning,Ready Hands,Squeeze and Release,"# FM-NURSERY-V5-P008 — Squeeze and Release

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P008`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 8 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Squeeze and Release

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Squeeze and Release**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Squeeze and Release** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P009,9,Core Learning,Ready Hands,Roll the Dough,"# FM-NURSERY-V5-P009 — Roll the Dough

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P009`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 9 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Roll the Dough

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Roll the Dough**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Roll the Dough** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
FM-NURSERY-V5-P010,10,Core Learning,Ready Hands,Press the Dots,"# FM-NURSERY-V5-P010 — Press the Dots

## Release metadata
- Prompt ID: `FM-NURSERY-V5-P010`
- Version: `5.1.0`
- Book: Fine Motor Fun Gold™
- Official book number: 03
- Level: Nursery (3+)
- Page: 10 of 44
- Page type: Core Learning
- Module: Ready Hands
- Exact title: Press the Dots

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Press the Dots**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hand strength, hand-eye coordination, pre-writing control and practical fine-motor confidence. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Press the Dots** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
