Page,Prompt ID,Title,Module,Learning Focus,Production Prompt
1,FI-NURSERY-V5-P001,Front Cover,Welcome,Meet the innovation journey,"# FI-NURSERY-V5-P001 — Front Cover

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P001
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Welcome
Page: 1 of 44
Exact title: Front Cover

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Front Cover”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Meet the innovation journey. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will meet the innovation journey through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Front Cover” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Meet the innovation journey” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
2,FI-NURSERY-V5-P002,This Book Belongs to,Welcome,Build ownership and confidence,"# FI-NURSERY-V5-P002 — This Book Belongs to

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P002
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Welcome
Page: 2 of 44
Exact title: This Book Belongs to

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “This Book Belongs to”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Build ownership and confidence. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will build ownership and confidence through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “This Book Belongs to” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Build ownership and confidence” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
3,FI-NURSERY-V5-P003,Meet Star,Welcome,Meet the supportive mascot,"# FI-NURSERY-V5-P003 — Meet Star

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P003
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Welcome
Page: 3 of 44
Exact title: Meet Star

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Meet Star”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Meet the supportive mascot. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will meet the supportive mascot through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Meet Star” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Meet the supportive mascot” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
4,FI-NURSERY-V5-P004,How to Use This Book,Welcome,"Understand child, teacher and parent roles","# FI-NURSERY-V5-P004 — How to Use This Book

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P004
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Welcome
Page: 4 of 44
Exact title: How to Use This Book

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “How to Use This Book”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Understand child, teacher and parent roles. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will understand child, teacher and parent roles through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “How to Use This Book” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Understand child, teacher and parent roles” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
5,FI-NURSERY-V5-P005,Look and Ask Why,Wonder,Notice how familiar things work,"# FI-NURSERY-V5-P005 — Look and Ask Why

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P005
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 5 of 44
Exact title: Look and Ask Why

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Look and Ask Why”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Notice how familiar things work. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will notice how familiar things work through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Look and Ask Why” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Notice how familiar things work” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
6,FI-NURSERY-V5-P006,What If?,Wonder,Imagine a different possibility,"# FI-NURSERY-V5-P006 — What If?

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P006
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 6 of 44
Exact title: What If?

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “What If?”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Imagine a different possibility. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will imagine a different possibility through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “What If?” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Imagine a different possibility” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
7,FI-NURSERY-V5-P007,Things That Help Us,Wonder,Identify useful everyday tools,"# FI-NURSERY-V5-P007 — Things That Help Us

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P007
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 7 of 44
Exact title: Things That Help Us

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Things That Help Us”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Identify useful everyday tools. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will identify useful everyday tools through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Things That Help Us” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Identify useful everyday tools” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
8,FI-NURSERY-V5-P008,Parts Make a Whole,Wonder,Notice simple parts and purposes,"# FI-NURSERY-V5-P008 — Parts Make a Whole

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P008
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 8 of 44
Exact title: Parts Make a Whole

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Parts Make a Whole”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Notice simple parts and purposes. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will notice simple parts and purposes through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Parts Make a Whole” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Notice simple parts and purposes” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
9,FI-NURSERY-V5-P009,"Same Job, New Way",Wonder,Think of another way to do a task,"# FI-NURSERY-V5-P009 — Same Job, New Way

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P009
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 9 of 44
Exact title: Same Job, New Way

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Same Job, New Way”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Think of another way to do a task. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will think of another way to do a task through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “Same Job, New Way” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Think of another way to do a task” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
10,FI-NURSERY-V5-P010,A Better Umbrella,Wonder,Notice a simple need and imagine improvement,"# FI-NURSERY-V5-P010 — A Better Umbrella

## 1. Release metadata
Prompt ID: FI-NURSERY-V5-P010
Version: 5.0.0
Book: Future Innovators Gold™
Level: Nursery (3+)
Module: Wonder
Page: 10 of 44
Exact title: A Better Umbrella

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “A Better Umbrella”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Notice a simple need and imagine improvement. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will notice a simple need and imagine improvement through a playful Nursery innovation activity.

## 6. Child-facing content
Use the exact title “A Better Umbrella” as normal readable text. Provide one short action instruction suitable for an adult to read aloud.

## 7. Teaching guidance
Teacher: model curiosity, ask what the child notices, invite prediction, allow trial and revision, and praise explanation rather than only the final result.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort, and ask what the creation helps, changes or improves.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. Visually support “Notice a simple need and imagine improvement” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot who wonders, points or encourages without completing the solution.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe mechanisms, adult engineering complexity or multiple competing tasks.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, purposeful innovation, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are correct. Human visual approval remains mandatory.
"
