prompt_id,page,page_type,module,title,prompt
MW-NURSERY-V5-P001,1,Front Cover,Front Matter,My World & General Awareness,"# MW-NURSERY-V5-P001 — My World & General Awareness

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P001`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 1 of 44
- Page type: Front Cover
- Module: Front Matter
- Exact title: My World & General Awareness

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **My World & General Awareness**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Front Cover**. Create a visually dominant, age-appropriate composition for **My World & General Awareness** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P002,2,Inside Cover / Book Information,Front Matter,About This Book,"# MW-NURSERY-V5-P002 — About This Book

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P002`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 2 of 44
- Page type: Inside Cover / Book Information
- Module: Front Matter
- Exact title: About This Book

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **About This Book**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Inside Cover / Book Information**. Create a visually dominant, age-appropriate composition for **About This Book** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P003,3,This Book Belongs To,Front Matter,This Book Belongs To,"# MW-NURSERY-V5-P003 — This Book Belongs To

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P003`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 3 of 44
- Page type: This Book Belongs To
- Module: Front Matter
- Exact title: This Book Belongs To

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **This Book Belongs To**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **This Book Belongs To**. Create a visually dominant, age-appropriate composition for **This Book Belongs To** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P004,4,Core Learning,Me and My Family,All About Me,"# MW-NURSERY-V5-P004 — All About Me

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P004`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 4 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: All About Me

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **All About Me**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **All About Me** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P005,5,Core Learning,Me and My Family,My Body,"# MW-NURSERY-V5-P005 — My Body

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P005`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 5 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: My Body

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **My Body**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **My Body** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P006,6,Core Learning,Me and My Family,My Feelings,"# MW-NURSERY-V5-P006 — My Feelings

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P006`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 6 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: My Feelings

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **My Feelings**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **My Feelings** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P007,7,Core Learning,Me and My Family,My Family,"# MW-NURSERY-V5-P007 — My Family

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P007`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 7 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: My Family

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **My Family**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **My Family** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P008,8,Core Learning,Me and My Family,People Who Care for Me,"# MW-NURSERY-V5-P008 — People Who Care for Me

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P008`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 8 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: People Who Care for Me

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **People Who Care for Me**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **People Who Care for Me** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P009,9,Core Learning,Me and My Family,My Home,"# MW-NURSERY-V5-P009 — My Home

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P009`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 9 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: My Home

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **My Home**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **My Home** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
MW-NURSERY-V5-P010,10,Core Learning,Me and My Family,Things I Use,"# MW-NURSERY-V5-P010 — Things I Use

## Release metadata
- Prompt ID: `MW-NURSERY-V5-P010`
- Version: `5.1.0`
- Book: My World & General Awareness Gold™
- Official book number: 07
- Level: Nursery (3+)
- Page: 10 of 44
- Page type: Core Learning
- Module: Me and My Family
- Exact title: Things I Use

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Things I Use**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports self-awareness, family, community, nature, animals, transport, places and everyday general knowledge. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Things I Use** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
