prompt_id,page,page_type,module,title,prompt
HH-NURSERY-V5-P001,1,Front Cover,Front Matter,Healthy Habits & Safety,"# HH-NURSERY-V5-P001 — Healthy Habits & Safety

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P001`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 1 of 44
- Page type: Front Cover
- Module: Front Matter
- Exact title: Healthy Habits & Safety

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Healthy Habits & Safety**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Front Cover**. Create a visually dominant, age-appropriate composition for **Healthy Habits & Safety** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P002,2,Inside Cover / Book Information,Front Matter,About This Book,"# HH-NURSERY-V5-P002 — About This Book

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P002`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 2 of 44
- Page type: Inside Cover / Book Information
- Module: Front Matter
- Exact title: About This Book

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **About This Book**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Inside Cover / Book Information**. Create a visually dominant, age-appropriate composition for **About This Book** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P003,3,This Book Belongs To,Front Matter,This Book Belongs To,"# HH-NURSERY-V5-P003 — This Book Belongs To

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P003`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 3 of 44
- Page type: This Book Belongs To
- Module: Front Matter
- Exact title: This Book Belongs To

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **This Book Belongs To**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **This Book Belongs To**. Create a visually dominant, age-appropriate composition for **This Book Belongs To** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P004,4,Core Learning,Clean and Healthy,Wash My Hands,"# HH-NURSERY-V5-P004 — Wash My Hands

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P004`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 4 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Wash My Hands

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Wash My Hands**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Wash My Hands** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P005,5,Core Learning,Clean and Healthy,Brush My Teeth,"# HH-NURSERY-V5-P005 — Brush My Teeth

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P005`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 5 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Brush My Teeth

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Brush My Teeth**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Brush My Teeth** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P006,6,Core Learning,Clean and Healthy,Take a Bath,"# HH-NURSERY-V5-P006 — Take a Bath

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P006`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 6 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Take a Bath

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Take a Bath**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Take a Bath** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P007,7,Core Learning,Clean and Healthy,Wear Clean Clothes,"# HH-NURSERY-V5-P007 — Wear Clean Clothes

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P007`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 7 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Wear Clean Clothes

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Wear Clean Clothes**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Wear Clean Clothes** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P008,8,Core Learning,Clean and Healthy,Cover My Cough,"# HH-NURSERY-V5-P008 — Cover My Cough

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P008`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 8 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Cover My Cough

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Cover My Cough**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Cover My Cough** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P009,9,Core Learning,Clean and Healthy,Use a Tissue,"# HH-NURSERY-V5-P009 — Use a Tissue

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P009`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 9 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Use a Tissue

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Use a Tissue**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Use a Tissue** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
HH-NURSERY-V5-P010,10,Core Learning,Clean and Healthy,Keep My Nails Clean,"# HH-NURSERY-V5-P010 — Keep My Nails Clean

## Release metadata
- Prompt ID: `HH-NURSERY-V5-P010`
- Version: `5.1.0`
- Book: Healthy Habits & Safety Gold™
- Official book number: 09
- Level: Nursery (3+)
- Page: 10 of 44
- Page type: Core Learning
- Module: Clean and Healthy
- Exact title: Keep My Nails Clean

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Keep My Nails Clean**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports hygiene, nutrition, movement, emotional wellbeing, personal boundaries and everyday safety. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Keep My Nails Clean** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
