physical_page,page_id,title,module,primary_pillar,status,prompt
1,LT-NURSERY-V5-P001,Logical Thinking Adventures Gold,Opening,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P001

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P001
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Opening
Physical page: 1 of 44
Exact title: Logical Thinking Adventures Gold

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Logical Thinking Adventures Gold”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
2,LT-NURSERY-V5-P002,This Book Belongs to Me,Opening,Express,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P002

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P002
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Opening
Physical page: 2 of 44
Exact title: This Book Belongs to Me

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “This Book Belongs to Me”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the express stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should share the idea, effort or solution with confidence. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
3,LT-NURSERY-V5-P003,Meet Star,Opening,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P003

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P003
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Opening
Physical page: 3 of 44
Exact title: Meet Star

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Meet Star”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
4,LT-NURSERY-V5-P004,How Logical Thinking Adventures Think,Opening,Think,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P004

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P004
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Opening
Physical page: 4 of 44
Exact title: How Logical Thinking Adventures Think

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “How Logical Thinking Adventures Think”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the think stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should pause, notice clues and choose a sensible answer. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
5,LT-NURSERY-V5-P005,What Do You Notice?,Look Closely,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P005

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P005
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 5 of 44
Exact title: What Do You Notice?

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “What Do You Notice?”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
6,LT-NURSERY-V5-P006,Find the Same,Look Closely,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P006

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P006
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 6 of 44
Exact title: Find the Same

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Find the Same”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
7,LT-NURSERY-V5-P007,Find the Different One,Look Closely,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P007

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P007
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 7 of 44
Exact title: Find the Different One

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Find the Different One”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
8,LT-NURSERY-V5-P008,What Is Missing?,Look Closely,Think,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P008

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P008
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 8 of 44
Exact title: What Is Missing?

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “What Is Missing?”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the think stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should pause, notice clues and choose a sensible answer. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
9,LT-NURSERY-V5-P009,Spot the Change,Look Closely,Observe,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P009

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P009
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 9 of 44
Exact title: Spot the Change

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Spot the Change”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the observe stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should look carefully, point, compare and describe. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
10,LT-NURSERY-V5-P010,Match the Shadows,Look Closely,Think,production_ready,"# BCube Production Prompt v5 — LT-NURSERY-V5-P010

## 1. Release metadata
Prompt ID: LT-NURSERY-V5-P010
Version: 5.0.0
Book: Logical Thinking Adventures Gold
Level: Nursery (3+)
Module: Look Closely
Physical page: 10 of 44
Exact title: Match the Shadows

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page for “Match the Shadows”. Produce no explanation, alternate, mockup or extra page.

## 3. Publishing system
Use the BCube Gold interior-page system, approved BCube Future Academy logo, exact title, safe margins, correct page number and premium preschool publishing finish.

## 4. Learning objective
Develop the think stage of early problem solving through an age-appropriate Nursery task.

## 5. Child activity
The child should pause, notice clues and choose a sensible answer. Keep the response space large, obvious and motor-friendly.

## 6. Teaching guidance
Teacher: model one example, ask “What do you notice?”, allow thinking time and praise the child’s process rather than speed.

## 7. Parent partnership
Parent: repeat the skill with familiar home objects and ask the child to explain one choice in simple words.

## 8. Illustration direction
Use large recognisable objects, rounded forms, clean outlines, natural expressions and one dominant visual problem. Show clues clearly without giving away the answer.

## 9. Star mascot direction
Use Star only as a supportive guide or encourager. Star must not cover clues, dominate the activity or reveal the solution.

## 10. Layout specification
A4 portrait; clear title zone; short instruction zone; 65–75% activity area; generous white space; page number at bottom right; all critical content inside trim-safe margins.

## 11. Typography
Use approved rounded child-friendly typography. Keep the title as normal readable text, not decorative lettering. Use short, concrete instructions with strong contrast.

## 12. Accessibility
Do not rely on colour alone. Use shape, position, outline or symbol cues; avoid tiny details, visual overload, ambiguous overlaps and low-contrast clues.

## 13. Negative constraints
No photorealism, empty speech bubbles, unnecessary stickers, crowded backgrounds, hidden instructions, unsafe actions, trick questions, answer leakage or multiple competing tasks.

## 14. Problem-solving integrity
The page must support Observe → Think → Try → Solve habits. Permit reasonable child thinking, avoid shame or failure language, and make retrying feel safe.

## 15. QA acceptance criteria
Pass only when the title, prompt ID, page number, learning objective, visual clues, child action, teacher guidance, parent prompt, accessibility and BCube brand rules are complete and mutually consistent.
"
