prompt_id,page,page_type,module,title,prompt
STEM-NURSERY-V5-P001,1,Front Cover,Front Matter,STEM Explorers,"# STEM-NURSERY-V5-P001 — STEM Explorers

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P001`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 1 of 44
- Page type: Front Cover
- Module: Front Matter
- Exact title: STEM Explorers

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **STEM Explorers**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Front Cover**. Create a visually dominant, age-appropriate composition for **STEM Explorers** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P002,2,Inside Cover / Book Information,Front Matter,About This Book,"# STEM-NURSERY-V5-P002 — About This Book

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P002`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 2 of 44
- Page type: Inside Cover / Book Information
- Module: Front Matter
- Exact title: About This Book

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **About This Book**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Inside Cover / Book Information**. Create a visually dominant, age-appropriate composition for **About This Book** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P003,3,This Book Belongs To,Front Matter,This Book Belongs To,"# STEM-NURSERY-V5-P003 — This Book Belongs To

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P003`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 3 of 44
- Page type: This Book Belongs To
- Module: Front Matter
- Exact title: This Book Belongs To

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **This Book Belongs To**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **This Book Belongs To**. Create a visually dominant, age-appropriate composition for **This Book Belongs To** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P004,4,Core Learning,Little Scientists,Look Like a Scientist,"# STEM-NURSERY-V5-P004 — Look Like a Scientist

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P004`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 4 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Look Like a Scientist

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Look Like a Scientist**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Look Like a Scientist** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P005,5,Core Learning,Little Scientists,Use My Senses,"# STEM-NURSERY-V5-P005 — Use My Senses

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P005`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 5 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Use My Senses

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Use My Senses**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Use My Senses** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P006,6,Core Learning,Little Scientists,What Do You Notice?,"# STEM-NURSERY-V5-P006 — What Do You Notice?

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P006`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 6 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: What Do You Notice?

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **What Do You Notice?**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **What Do You Notice?** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P007,7,Core Learning,Little Scientists,Same or Different?,"# STEM-NURSERY-V5-P007 — Same or Different?

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P007`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 7 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Same or Different?

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Same or Different?**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Same or Different?** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P008,8,Core Learning,Little Scientists,Guess What Happens,"# STEM-NURSERY-V5-P008 — Guess What Happens

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P008`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 8 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Guess What Happens

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Guess What Happens**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Guess What Happens** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P009,9,Core Learning,Little Scientists,Test the Idea,"# STEM-NURSERY-V5-P009 — Test the Idea

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P009`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 9 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Test the Idea

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Test the Idea**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Test the Idea** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
STEM-NURSERY-V5-P010,10,Core Learning,Little Scientists,Watch It Change,"# STEM-NURSERY-V5-P010 — Watch It Change

## Release metadata
- Prompt ID: `STEM-NURSERY-V5-P010`
- Version: `5.1.0`
- Book: STEM Explorers Gold™
- Official book number: 06
- Level: Nursery (3+)
- Page: 10 of 44
- Page type: Core Learning
- Module: Little Scientists
- Exact title: Watch It Change

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Watch It Change**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports observation, prediction, sorting, patterns, construction, measurement and simple cause-and-effect. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Watch It Change** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
