physical_page,prompt_id,title,module,primary_pillar,production_prompt
1,CB-NURSERY-V5-P001,Confidence Builders,Opening,Believe in Myself,"# Confidence Builders Production Prompt — P001 — Confidence Builders

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P001
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 1 of 44
Exact title: Confidence Builders
Module: Opening
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “Confidence Builders”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “Confidence Builders”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “Confidence Builders” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
2,CB-NURSERY-V5-P002,This Book Belongs to Me,Opening,Believe in Myself,"# Confidence Builders Production Prompt — P002 — This Book Belongs to Me

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P002
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 2 of 44
Exact title: This Book Belongs to Me
Module: Opening
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “This Book Belongs to Me”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “This Book Belongs to Me”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “This Book Belongs to Me” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
3,CB-NURSERY-V5-P003,Meet Star,Opening,Speak with Confidence,"# Confidence Builders Production Prompt — P003 — Meet Star

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P003
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 3 of 44
Exact title: Meet Star
Module: Opening
Primary confidence pillar: Speak with Confidence

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “Meet Star”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through speak with confidence using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “Meet Star”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “Meet Star” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
4,CB-NURSERY-V5-P004,I Can Try,Opening,Try New Things,"# Confidence Builders Production Prompt — P004 — I Can Try

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P004
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 4 of 44
Exact title: I Can Try
Module: Opening
Primary confidence pillar: Try New Things

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “I Can Try”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through try new things using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “I Can Try”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “I Can Try” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
5,CB-NURSERY-V5-P005,This Is Me,Knowing Myself,Believe in Myself,"# Confidence Builders Production Prompt — P005 — This Is Me

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P005
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 5 of 44
Exact title: This Is Me
Module: Knowing Myself
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “This Is Me”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “This Is Me”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “This Is Me” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
6,CB-NURSERY-V5-P006,My Happy Face,Knowing Myself,Believe in Myself,"# Confidence Builders Production Prompt — P006 — My Happy Face

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P006
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 6 of 44
Exact title: My Happy Face
Module: Knowing Myself
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “My Happy Face”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “My Happy Face”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “My Happy Face” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
7,CB-NURSERY-V5-P007,Things I Like,Knowing Myself,Speak with Confidence,"# Confidence Builders Production Prompt — P007 — Things I Like

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P007
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 7 of 44
Exact title: Things I Like
Module: Knowing Myself
Primary confidence pillar: Speak with Confidence

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “Things I Like”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through speak with confidence using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “Things I Like”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “Things I Like” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
8,CB-NURSERY-V5-P008,I Can Choose,Knowing Myself,Believe in Myself,"# Confidence Builders Production Prompt — P008 — I Can Choose

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P008
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 8 of 44
Exact title: I Can Choose
Module: Knowing Myself
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “I Can Choose”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “I Can Choose”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “I Can Choose” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
9,CB-NURSERY-V5-P009,My Special Talent,Knowing Myself,Believe in Myself,"# Confidence Builders Production Prompt — P009 — My Special Talent

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P009
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 9 of 44
Exact title: My Special Talent
Module: Knowing Myself
Primary confidence pillar: Believe in Myself

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “My Special Talent”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through believe in myself using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “My Special Talent”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “My Special Talent” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
10,CB-NURSERY-V5-P010,I Can Say My Name,Knowing Myself,Speak with Confidence,"# Confidence Builders Production Prompt — P010 — I Can Say My Name

## 1. Release metadata
Prompt ID: CB-NURSERY-V5-P010
Version: 5.0.0
Book: Confidence Builders Gold™
Level: Nursery (3+)
Physical page: 10 of 44
Exact title: I Can Say My Name
Module: Knowing Myself
Primary confidence pillar: Speak with Confidence

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait workbook page titled “I Can Say My Name”. Produce no explanation, mockup, alternate or extra page.

## 3. Engine order and precedence
Follow the approved BCube Gold publishing, design, educational, teaching, parent-partnership, illustration, character and QA standards. Page-specific instructions override shared defaults.

## 4. Educational intent
Build confidence through speak with confidence using one concrete, visually obvious Nursery activity. Reward effort, participation and recovery rather than perfection.

## 5. Child-facing instruction
Use one short action sentence suitable for age 3+, directly connected to “I Can Say My Name”.

## 6. Teaching flow
Teacher models once, invites the child to try, pauses for response, gives specific effort-based encouragement and records only meaningful support needs.

## 7. Parent partnership
Include one optional home extension that uses ordinary household interaction and does not require purchasing materials.

## 8. Page layout
A4 portrait, clean white background, official logo at top left, exact title centred, large activity zone, safe margins and small page number at bottom right. Nursery badge only on cover.

## 9. Illustration specification
Depict a clear preschool situation for “I Can Say My Name” with large recognisable forms, minimal visual complexity and adequate blank/activity space. Illustration must teach the task without relying on adult explanation.

## 10. Character and expression rules
Use diverse preschool children with natural expressions and achievable body language. Star may encourage without dominating the child’s action. Avoid forced bravado, shame, comparison or unrealistic independence.

## 11. Typography and text rules
Use large rounded readable type, short text blocks, high contrast and consistent hierarchy. Render the title as normal text, not curved, arched, decorative or embedded in artwork.

## 12. Accessibility and inclusion
Support children with varied speech, motor and sensory needs. Permit pointing, choosing, tracing, gesturing or supported verbal responses. Avoid stereotypes and deficit language.

## 13. Negative constraints
No photography, gradients that reduce legibility, dark backgrounds, tiny details, overcrowding, empty speech bubbles, decorative pseudo-text, unapproved logos, watermark, extra title, wrong page number or badge on interior pages.

## 14. Preflight checks
Verify exact title, prompt ID, physical page, one learning focus, clear child action, age suitability, brand placement, safe margins, readable text, inclusive representation and print readiness.

## 15. Acceptance criteria
PASS only when the page is instructionally self-evident, visually balanced, confidence-building without pressure, consistent with the BCube Gold system and ready for human visual review.
"
