prompt_id,page,page_type,module,title,prompt
AC-NURSERY-V5-P001,1,Front Cover,Front Matter,Art & Colour Fun,"# AC-NURSERY-V5-P001 — Art & Colour Fun

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P001`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 1 of 44
- Page type: Front Cover
- Module: Front Matter
- Exact title: Art & Colour Fun

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Art & Colour Fun**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Front Cover**. Create a visually dominant, age-appropriate composition for **Art & Colour Fun** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P002,2,Inside Cover / Book Information,Front Matter,About This Book,"# AC-NURSERY-V5-P002 — About This Book

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P002`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 2 of 44
- Page type: Inside Cover / Book Information
- Module: Front Matter
- Exact title: About This Book

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **About This Book**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Inside Cover / Book Information**. Create a visually dominant, age-appropriate composition for **About This Book** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P003,3,This Book Belongs To,Front Matter,This Book Belongs To,"# AC-NURSERY-V5-P003 — This Book Belongs To

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P003`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 3 of 44
- Page type: This Book Belongs To
- Module: Front Matter
- Exact title: This Book Belongs To

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **This Book Belongs To**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **This Book Belongs To**. Create a visually dominant, age-appropriate composition for **This Book Belongs To** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P004,4,Core Learning,Meet the Colours,Hello Red,"# AC-NURSERY-V5-P004 — Hello Red

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P004`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 4 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Red

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Red**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Red** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P005,5,Core Learning,Meet the Colours,Hello Yellow,"# AC-NURSERY-V5-P005 — Hello Yellow

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P005`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 5 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Yellow

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Yellow**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Yellow** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P006,6,Core Learning,Meet the Colours,Hello Blue,"# AC-NURSERY-V5-P006 — Hello Blue

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P006`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 6 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Blue

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Blue**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Blue** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P007,7,Core Learning,Meet the Colours,Hello Green,"# AC-NURSERY-V5-P007 — Hello Green

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P007`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 7 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Green

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Green**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Green** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P008,8,Core Learning,Meet the Colours,Hello Orange,"# AC-NURSERY-V5-P008 — Hello Orange

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P008`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 8 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Orange

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Orange**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Orange** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P009,9,Core Learning,Meet the Colours,Hello Purple,"# AC-NURSERY-V5-P009 — Hello Purple

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P009`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 9 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Hello Purple

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Hello Purple**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Hello Purple** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
AC-NURSERY-V5-P010,10,Core Learning,Meet the Colours,Black and White,"# AC-NURSERY-V5-P010 — Black and White

## Release metadata
- Prompt ID: `AC-NURSERY-V5-P010`
- Version: `5.1.0`
- Book: Art & Colour Fun Gold™
- Official book number: 10
- Level: Nursery (3+)
- Page: 10 of 44
- Page type: Core Learning
- Module: Meet the Colours
- Exact title: Black and White

## Production command
Create exactly one final, flat, front-facing A4 portrait page for **Black and White**. Produce no mockup, explanation, alternate page or photography.

## Publishing rules
Use the BCube Future Academy Gold interior system: clean white base, soft pastel accents, thick rounded outlines, generous safe margins, premium preschool publishing finish, official logo placement, accurate title text and page numbering where applicable. Keep all important content within trim-safe boundaries.

## Educational intent
This page supports colour recognition, mark-making, drawing, painting, collage, craft and joyful creative expression. The activity must be immediately understandable to a Nursery child aged 3+ and usable by a teacher or parent with minimal explanation.

## Page-specific direction
Page type: **Core Learning**. Create a visually dominant, age-appropriate composition for **Black and White** with one clear learning focus, large recognizable forms, minimal clutter and meaningful child participation. For learning pages, include a direct action such as point, trace, match, sort, colour, draw, move, build, observe, say or choose. For cover and book-information pages, follow the canonical 44-page publishing architecture rather than an activity layout.

## Teaching support
Add one concise adult guidance line only when the page type requires it. Keep instructions short, positive and action-led. Avoid dense curriculum notes.

## Character and illustration rules
Use friendly inclusive preschool characters only when they improve understanding. Maintain natural expressions, safe actions, consistent proportions and simple environments. Do not use photorealism, watermarks, empty speech balloons, tiny decorative text or unapproved logos.

## Quality gates
- Exact title preserved
- Correct prompt ID and page number
- One clear learning objective
- Nursery-safe visual complexity
- Teacher/parent usability
- Print-safe A4 portrait composition
- No spelling errors or placeholder text
"
