Prompt ID,Physical Page,Printed Page,Exact Title,Module,Learning Objective,Discovery Skills,Activity Type,Illustration Direction,Prompt File,Status
CE-NURSERY-V5-P001,1,hidden,Cover,Front Matter,Introduce Curiosity Explorers and the BCube discovery journey.,"Observe, Explore, Question",Cover composition,"A unique explorer classroom scene with Star and diverse children using magnifying glasses to observe leaves, butterflies, shells and simple science objects.",production-prompts/P001.md,prompt-candidate
CE-NURSERY-V5-P002,2,hidden,Copyright,Front Matter,Present complete publisher and edition information.,Print awareness,Read with an adult,Clean legal-information page with small approved brand elements and no decorative clutter.,production-prompts/P002.md,prompt-candidate
CE-NURSERY-V5-P003,3,hidden,Welcome to Curiosity Explorers,Front Matter,Welcome the child into an observation-and-discovery journey.,"Curiosity, Communication",Point and say,"Star welcomes diverse preschool children into a bright discovery corner with magnifying glass, leaf, shell and butterfly.",production-prompts/P003.md,prompt-candidate
CE-NURSERY-V5-P004,4,hidden,How to Use This Book,Front Matter,Show adults and children the recurring activity symbols and interaction flow.,"Independence, Communication","Look, point, talk","Four large visual steps: look, think, explore and talk, each represented by one clear icon and a child action.",production-prompts/P004.md,prompt-candidate
CE-NURSERY-V5-P005,5,hidden,Meet Star the Explorer,Front Matter,Introduce Star as a consistent inquiry companion.,"Observe, Question, Explore",Listen and repeat,"Approved Star mascot holding a magnifying glass with four simple fact callouts: looks carefully, asks questions, explores safely, shares discoveries.",production-prompts/P005.md,prompt-candidate
CE-NURSERY-V5-P006,6,5,My Explorer Promise,Front Matter,Build safe and positive exploration habits.,"Confidence, Responsibility",Trace and repeat,"Four promise panels with a child observing, asking, exploring safely and caring for nature; include large traceable key words.",production-prompts/P006.md,prompt-candidate
CE-NURSERY-V5-P007,7,6,Look Carefully,Module 1 – Observe and Compare,Find named objects by scanning a simple scene carefully.,"Observation, Vocabulary",Find and circle,"A simple playground scene containing a butterfly, ball, bird, kite, flower, bench and tree; Star observes from the side with a magnifying glass.",production-prompts/P007.md,prompt-candidate
CE-NURSERY-V5-P008,8,7,Big and Small,Module 1 – Observe and Compare,Compare familiar objects by size.,"Compare, Observe",Circle the bigger object,"Four pairs of familiar objects with obvious size contrast: balls, teddy bears, cups and leaves.",production-prompts/P008.md,prompt-candidate
CE-NURSERY-V5-P009,9,8,Same and Different,Module 1 – Observe and Compare,Identify one object that differs from a small group.,"Compare, Classify",Find the different one,"Three rows of four large objects; one item in each row differs by colour, shape or orientation.",production-prompts/P009.md,prompt-candidate
CE-NURSERY-V5-P010,10,9,Find My Match,Module 1 – Observe and Compare,Match identical objects using visual discrimination.,"Observe, Match",Draw matching lines,Two columns of six large familiar objects in shuffled order with generous line-drawing space.,production-prompts/P010.md,prompt-candidate
