Page,Prompt ID,Title,Module,Learning Focus,Production Prompt
1,CT-NURSERY-V5-P001,Front Cover,Welcome,Meet the creative-thinking journey,"# CT-NURSERY-V5-P001 — Front Cover

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P001
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Welcome
Page: 1 of 44
Exact title: Front Cover

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Front Cover”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Meet the creative-thinking journey. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will meet the creative-thinking journey through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Front Cover” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Meet the creative-thinking journey” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
2,CT-NURSERY-V5-P002,This Book Belongs to,Welcome,Build ownership and confidence,"# CT-NURSERY-V5-P002 — This Book Belongs to

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P002
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Welcome
Page: 2 of 44
Exact title: This Book Belongs to

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “This Book Belongs to”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Build ownership and confidence. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will build ownership and confidence through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “This Book Belongs to” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Build ownership and confidence” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
3,CT-NURSERY-V5-P003,Meet Star,Welcome,Meet the supportive mascot,"# CT-NURSERY-V5-P003 — Meet Star

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P003
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Welcome
Page: 3 of 44
Exact title: Meet Star

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Meet Star”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Meet the supportive mascot. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will meet the supportive mascot through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Meet Star” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Meet the supportive mascot” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
4,CT-NURSERY-V5-P004,How to Use This Book,Welcome,"Understand child, teacher and parent roles","# CT-NURSERY-V5-P004 — How to Use This Book

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P004
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Welcome
Page: 4 of 44
Exact title: How to Use This Book

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “How to Use This Book”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Understand child, teacher and parent roles. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will understand child, teacher and parent roles through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “How to Use This Book” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Understand child, teacher and parent roles” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
5,CT-NURSERY-V5-P005,Look and Wonder,Imagine,Notice details and ask what could happen,"# CT-NURSERY-V5-P005 — Look and Wonder

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P005
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 5 of 44
Exact title: Look and Wonder

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Look and Wonder”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Notice details and ask what could happen. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will notice details and ask what could happen through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Look and Wonder” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Notice details and ask what could happen” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
6,CT-NURSERY-V5-P006,What Could It Be?,Imagine,Interpret an open shape in different ways,"# CT-NURSERY-V5-P006 — What Could It Be?

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P006
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 6 of 44
Exact title: What Could It Be?

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “What Could It Be?”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Interpret an open shape in different ways. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will interpret an open shape in different ways through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “What Could It Be?” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Interpret an open shape in different ways” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
7,CT-NURSERY-V5-P007,Cloud Pictures,Imagine,Imagine familiar forms in clouds,"# CT-NURSERY-V5-P007 — Cloud Pictures

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P007
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 7 of 44
Exact title: Cloud Pictures

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Cloud Pictures”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Imagine familiar forms in clouds. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will imagine familiar forms in clouds through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Cloud Pictures” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Imagine familiar forms in clouds” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
8,CT-NURSERY-V5-P008,Finish the Doodle,Imagine,Transform a simple mark into an idea,"# CT-NURSERY-V5-P008 — Finish the Doodle

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P008
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 8 of 44
Exact title: Finish the Doodle

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Finish the Doodle”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Transform a simple mark into an idea. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will transform a simple mark into an idea through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Finish the Doodle” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Transform a simple mark into an idea” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
9,CT-NURSERY-V5-P009,A New Animal,Imagine,Combine familiar animal features,"# CT-NURSERY-V5-P009 — A New Animal

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P009
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 9 of 44
Exact title: A New Animal

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “A New Animal”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Combine familiar animal features. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will combine familiar animal features through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “A New Animal” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Combine familiar animal features” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
10,CT-NURSERY-V5-P010,Funny Faces,Imagine,Explore expressive facial combinations,"# CT-NURSERY-V5-P010 — Funny Faces

## 1. Release metadata
Prompt ID: CT-NURSERY-V5-P010
Version: 5.0.0
Book: Creative Thinkers Gold™
Level: Nursery (3+)
Module: Imagine
Page: 10 of 44
Exact title: Funny Faces

## 2. Production command
Create exactly one final, flat, front-facing A4 portrait page for “Funny Faces”. Produce no explanation, alternate, mockup or additional page.

## 3. Engine order and precedence
Publishing Engine > Design Engine > Visual Grammar Engine > Educational Engine > Teaching Engine > Parent Partnership Engine > Illustration Engine > Character Engine > Quality Assurance. Approved page instruction has highest precedence.

## 4. Page purpose
Support the learning focus: Explore expressive facial combinations. Keep one dominant child action and a clear visual outcome.

## 5. Learning objective
The child will explore expressive facial combinations through a playful, open-ended Nursery activity that permits meaningful choice.

## 6. Child-facing content
Use the exact title “Funny Faces” as normal readable text. Provide one short action instruction suitable for an adult to read aloud. Do not embed essential instructions inside decorative artwork.

## 7. Teaching guidance
Teacher: model curiosity, ask one open question, allow wait time, accept more than one reasonable response and invite the child to describe a choice without correcting originality.

## 8. Parent partnership
Parent: repeat the idea with safe household materials, praise effort and experimentation, and ask the child to explain what they made or imagined.

## 9. Layout architecture
A4 portrait with generous safe margins; official BCube logo in the approved location; centered normal-text page title; large activity zone; restrained support text; page number at bottom right where applicable.

## 10. Illustration direction
Use premium preschool artwork with large rounded forms and recognisable objects. The composition must visually support “Explore expressive facial combinations” with ample white space and a clear place for the child to act.

## 11. Character and mascot rules
Use inclusive Nursery-aged children with natural expressions and readable poses. Star is a consistent yellow rounded mascot and must support, point, wonder or encourage without completing the child’s work.

## 12. Brand and typography
Preserve the official BCube Future Academy logo, BCube Future Skills Learning Series™ naming and four pillars: Creativity, Communication, Curiosity and Confidence. Use approved rounded child-friendly typography.

## 13. Accessibility and inclusion
Colour is not the only instructional cue. Maintain clear figure-ground separation, large motor-friendly marks, simple visual language, culturally inclusive representation and instructions understandable when read aloud.

## 14. Negative constraints
No photorealism, empty speech bubbles, tiny details, overcrowding, harsh shadows, dark full-page backgrounds, altered logo, incorrect title, decorative pseudo-text, unsafe objects, multiple competing tasks or one rigid model answer.

## 15. Quality assurance and acceptance criteria
Pass only when identity, exact title, page sequence, learning focus, open-ended creativity, child action, teacher support, parent extension, A4 layout, brand, accessibility, illustration clarity and print safety are all correct. Human visual approval remains mandatory.
"
